-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615,-139615
-139615,-139616,-139616,-139617,-139618,-139619,-139621,-139623,-139625,-139628,-139631,-139634,-139638,-139643,-139648,-139653,-139659,-139664,-139670,-139675,-139680,-139683,-139686,-139688,-139689,-139689,-139688,-139686,-139683,-139680,-139676,-139672,-139668,-139664,-139660,-139655,-139651,-139647,-139643,-139639,-139635,-139632,-139628,-139625,-139622,-139618,-139615
-139615,-139616,-139618,-139620,-139622,-139624,-139627,-139631,-139635,-139640,-139646,-139654,-139662,-139671,-139681,-139692,-139704,-139715,-139727,-139737,-139746,-139754,-139760,-139764,-139766,-139765,-139763,-139759,-139754,-139747,-139739,-139731,-139723,-139714,-139705,-139697,-139688,-139680,-139672,-139664,-139657,-139649,-139642,-139635,-139629,-139622,-139615
-139615,-139617,-139619,-139622,-139625,-139628,-139633,-139638,-139645,-139653,-139662,-139673,-139686,-139700,-139716,-139732,-139750,-139768,-139786,-139802,-139817,-139829,-139838,-139844,-139847,-139846,-139842,-139836,-139827,-139817,-139805,-139793,-139780,-139767,-139753,-139740,-139727,-139714,-139702,-139690,-139679,-139668,-139657,-139646,-139636,-139625,-139615
-139615,-139618,-139621,-139624,-139628,-139633,-139639,-139646,-139654,-139665,-139678,-139692,-139710,-139729,-139751,-139774,-139799,-139824,-139849,-139872,-139892,-139909,-139922,-139930,-139934,-139933,-139927,-139918,-139906,-139891,-139875,-139858,-139840,-139822,-139804,-139786,-139768,-139751,-139734,-139718,-139702,-139687,-139672,-139658,-139643,-139629,-139615
-139615,-139618,-139622,-139626,-139631,-139637,-139644,-139653,-139664,-139677,-139693,-139711,-139733,-139758,-139786,-139817,-139850,-139883,-139916,-139947,-139975,-139997,-140014,-140025,-140029,-140027,-140019,-140007,-139991,-139971,-139950,-139928,-139904,-139881,-139858,-139835,-139812,-139790,-139768,-139747,-139727,-139708,-139689,-139670,-139652,-139633,-139615
-139615,-139619,-139623,-139627,-139633,-139640,-139648,-139659,-139672,-139687,-139706,-139729,-139756,-139787,-139822,-139861,-139903,-139946,-139989,-140030,-140066,-140095,-140117,-140130,-140135,-140131,-140121,-140104,-140082,-140057,-140030,-140002,-139973,-139944,-139915,-139887,-139859,-139832,-139805,-139779,-139754,-139730,-139706,-139683,-139660,-139638,-139615
-139615,-139619,-139624,-139629,-139635,-139643,-139652,-139664,-139679,-139697,-139719,-139745,-139776,-139814,-139856,-139905,-139957,-140013,-140068,-140120,-140167,-140205,-140232,-140248,-140253,-140247,-140232,-140210,-140182,-140150,-140116,-140081,-140046,-140012,-139977,-139943,-139910,-139877,-139845,-139814,-139784,-139754,-139726,-139698,-139670,-139642,-139615
-139615,-139619,-139624,-139630,-139636,-139644,-139655,-139668,-139684,-139704,-139728,-139758,-139794,-139838,-139889,-139947,-140013,-140083,-140154,-140221,-140281,-140329,-140363,-140382,-140386,-140377,-140356,-140326,-140290,-140250,-140208,-140166,-140124,-140084,-140043,-140004,-139964,-139926,-139888,-139851,-139815,-139781,-139746,-139713,-139680,-139648,-139615
-139615,-139619,-139624,-139630,-139637,-139645,-139656,-139670,-139687,-139708,-139734,-139767,-139807,-139857,-139916,-139987,-140067,-140156,-140246,-140333,-140410,-140471,-140513,-140535,-140538,-140523,-140494,-140454,-140406,-140356,-140305,-140255,-140207,-140160,-140114,-140069,-140024,-139979,-139935,-139892,-139850,-139809,-139769,-139730,-139691,-139653,-139615
-139615,-139619,-139624,-139629,-139636,-139644,-139655,-139669,-139687,-139709,-139736,-139771,-139814,-139868,-139935,-140018,-140118,-140229,-140346,-140459,-140558,-140635,-140687,-140711,-140710,-140687,-140646,-140592,-140530,-140467,-140405,-140347,-140293,-140241,-140190,-140139,-140087,-140036,-139986,-139936,-139887,-139840,-139793,-139748,-139703,-139659,-139615
-139615,-139619,-139623,-139628,-139634,-139642,-139653,-139666,-139684,-139706,-139733,-139768,-139812,-139868,-139941,-140036,-140158,-140301,-140453,-140601,-140730,-140830,-140891,-140916,-140909,-140874,-140816,-140742,-140660,-140579,-140506,-140441,-140382,-140327,-140271,-140214,-140157,-140099,-140041,-139984,-139928,-139873,-139820,-139768,-139716,-139666,-139615
-139615,-139618,-139621,-139626,-139631,-139638,-139648,-139661,-139677,-139698,-139724,-139757,-139799,-139853,-139926,-140030,-140180,-140365,-140567,-140764,-140936,-141065,-141134,-141155,-141138,-141086,-141005,-140903,-140793,-140688,-140603,-140533,-140473,-140417,-140358,-140296,-140232,-140166,-140101,-140035,-139971,-139909,-139848,-139789,-139730,-139673,-139615
-139615,-139617,-139619,-139622,-139627,-139633,-139641,-139653,-139668,-139687,-139710,-139740,-139775,-139820,-139881,-139981,-140168,-140415,-140687,-140953,-141188,-141361,-141426,-141436,-141404,-141329,-141216,-141076,-140923,-140781,-140686,-140617,-140566,-140514,-140453,-140386,-140315,-140240,-140165,-140091,-140018,-139947,-139878,-139811,-139745,-139680,-139615
