-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482,-98482
-98482,-98479.9,-98477.7,-98475.4,-98473,-98470.4,-98467.6,-98464.6,-98461.5,-98458.2,-98454.8,-98451.3,-98447.9,-98444.5,-98441.3,-98438.5,-98435.9,-98433.9,-98432.4,-98431.5,-98431.3,-98431.7,-98432.8,-98434.5,-98436.7,-98439.3,-98442.3,-98445.5,-98448.8,-98452.1,-98455.4,-98458.7,-98461.8,-98464.7,-98467.5,-98470.2,-98472.7,-98475.1,-98477.4,-98479.7,-98482
-98482,-98477.7,-98473.3,-98468.6,-98463.6,-98458.3,-98452.6,-98446.6,-98440.2,-98433.5,-98426.6,-98419.6,-98412.6,-98405.8,-98399.3,-98393.4,-98388.3,-98384.1,-98381,-98379.2,-98378.8,-98379.7,-98381.9,-98385.4,-98389.9,-98395.3,-98401.4,-98407.9,-98414.6,-98421.4,-98428.2,-98434.7,-98441,-98447,-98452.7,-98458.1,-98463.2,-98468,-98472.8,-98477.4,-98482
-98482,-98475.4,-98468.6,-98461.4,-98453.7,-98445.5,-98436.8,-98427.5,-98417.7,-98407.5,-98396.9,-98386.1,-98375.3,-98364.8,-98354.9,-98345.8,-98337.9,-98331.4,-98326.7,-98323.9,-98323.2,-98324.6,-98328.1,-98333.6,-98340.7,-98349.1,-98358.5,-98368.6,-98379,-98389.5,-98399.9,-98409.9,-98419.6,-98428.7,-98437.4,-98445.6,-98453.3,-98460.8,-98468,-98475,-98482
-98482,-98472.9,-98463.5,-98453.6,-98443.1,-98431.9,-98419.9,-98407.2,-98393.7,-98379.6,-98365.1,-98350.3,-98335.4,-98321,-98307.2,-98294.6,-98283.6,-98274.6,-98267.9,-98264,-98263.1,-98265.2,-98270.2,-98277.9,-98288,-98299.8,-98313,-98327.1,-98341.5,-98356,-98370.2,-98384,-98397.2,-98409.7,-98421.5,-98432.6,-98443.1,-98453.2,-98463,-98472.5,-98482
-98482,-98470.2,-98458,-98445.3,-98431.7,-98417.2,-98401.7,-98385.3,-98367.9,-98349.6,-98330.8,-98311.6,-98292.3,-98273.5,-98255.5,-98238.9,-98224.4,-98212.4,-98203.6,-98198.4,-98197.2,-98200.1,-98206.9,-98217.3,-98230.8,-98246.7,-98264.2,-98282.7,-98301.7,-98320.6,-98339,-98356.8,-98373.7,-98389.7,-98404.8,-98419.1,-98432.5,-98445.4,-98457.8,-98469.9,-98482
-98482,-98467.3,-98452.1,-98436.2,-98419.3,-98401.3,-98382.1,-98361.6,-98339.9,-98317.2,-98293.6,-98269.5,-98245.4,-98221.6,-98198.9,-98177.8,-98159.2,-98143.8,-98132.4,-98125.6,-98124.1,-98127.9,-98136.9,-98150.7,-98168.3,-98188.9,-98211.5,-98235.2,-98259.2,-98283,-98306.1,-98328.2,-98349.2,-98368.9,-98387.5,-98405,-98421.5,-98437.2,-98452.4,-98467.3,-98482
-98482,-98464.2,-98445.8,-98426.4,-98406,-98384.1,-98360.8,-98336,-98309.6,-98282,-98253.3,-98223.9,-98194.3,-98165.1,-98136.9,-98110.7,-98087.2,-98067.6,-98052.9,-98044.2,-98042.1,-98047.1,-98059,-98076.9,-98099.6,-98126,-98154.6,-98184.3,-98214.1,-98243.3,-98271.4,-98298.2,-98323.5,-98347.2,-98369.5,-98390.4,-98410.1,-98428.8,-98446.8,-98464.5,-98482
-98482,-98460.8,-98438.9,-98415.9,-98391.6,-98365.7,-98337.9,-98308.4,-98277,-98244.1,-98209.7,-98174.5,-98138.9,-98103.5,-98069.1,-98036.8,-98007.6,-97982.8,-97963.9,-97952.5,-97949.7,-97956.1,-97971.5,-97994.7,-98024.1,-98057.5,-98093.4,-98130,-98166.3,-98201.6,-98235.2,-98267,-98296.9,-98324.8,-98350.8,-98375.3,-98398.2,-98420.1,-98441.1,-98461.6,-98482
-98482,-98457.2,-98431.6,-98404.7,-98376.3,-98346,-98313.5,-98278.9,-98242.1,-98203.4,-98163,-98121.3,-98079,-98036.8,-97995.4,-97956,-97919.8,-97888.4,-97864,-97848.6,-97844.5,-97852.7,-97872.9,-97903.2,-97940.9,-97983.4,-98028,-98072.8,-98116.5,-98158.3,-98197.8,-98234.9,-98269.5,-98301.7,-98331.7,-98359.8,-98386.1,-98411.2,-98435.2,-98458.7,-98482
